SEQ,SRCHWRD_NM,MOBILE_SCCNT,`_PC_SCCNT`,SCCNT_SM,SCCNT_DE
4388,문화누리카드,6854,1005,7859,2022-01-01
4376,문화누리,281,106,387,2022-01-01
4377,문화누리,246,72,318,2022-01-02
4389,문화누리카드,6201,934,7135,2022-01-02
4400,문화누리,294,208,502,2022-01-03
4401,문화누리카드,7753,2078,9831,2022-01-03
4399,문화누리카드,6517,1677,8194,2022-01-04
4398,문화누리,271,155,426,2022-01-04
4396,문화누리,260,145,405,2022-01-05
4397,문화누리카드,6190,1587,7777,2022-01-05
4394,문화누리,201,104,305,2022-01-06
4395,문화누리카드,5574,1367,6941,2022-01-06
4393,문화누리카드,5205,1415,6620,2022-01-07
4392,문화누리,204,144,348,2022-01-07
4390,문화누리,163,66,229,2022-01-08
4391,문화누리카드,4251,695,4946,2022-01-08
4421,문화누리카드,4212,608,4820,2022-01-09
4420,문화누리,135,53,188,2022-01-09
4419,문화누리카드,4934,1328,6262,2022-01-10
4418,문화누리,166,145,311,2022-01-10
4417,문화누리카드,4763,1247,6010,2022-01-11
4416,문화누리,184,113,297,2022-01-11
4415,문화누리카드,4569,1223,5792,2022-01-12
4414,문화누리,165,98,263,2022-01-12
4412,문화누리,149,126,275,2022-01-13
4413,문화누리카드,4294,1073,5367,2022-01-13
4410,문화누리,162,93,255,2022-01-14
4411,문화누리카드,4148,899,5047,2022-01-14
4408,문화누리,129,37,166,2022-01-15
4409,문화누리카드,3712,561,4273,2022-01-15
4407,문화누리카드,3987,573,4560,2022-01-16
4406,문화누리,137,60,197,2022-01-16
4402,문화누리,291,202,493,2022-01-17
4403,문화누리카드,8430,2025,10455,2022-01-17
4405,문화누리카드,6694,1783,8477,2022-01-18
4404,문화누리,259,198,457,2022-01-18
4422,문화누리,446,253,699,2022-01-19
4423,문화누리카드,8594,2380,10974,2022-01-19
4424,문화누리,407,221,628,2022-01-20
4425,문화누리카드,8272,2413,10685,2022-01-20
4426,문화누리,299,168,467,2022-01-21
4427,문화누리카드,7003,1892,8895,2022-01-21
4428,문화누리,271,102,373,2022-01-22
4429,문화누리카드,5606,995,6601,2022-01-22
4431,문화누리카드,5410,967,6377,2022-01-23
4430,문화누리,269,115,384,2022-01-23
4432,문화누리,280,188,468,2022-01-24
4433,문화누리카드,6364,1822,8186,2022-01-24
4434,문화누리,251,181,432,2022-01-25
4435,문화누리카드,6399,1797,8196,2022-01-25
4436,문화누리,317,189,506,2022-01-26
4437,문화누리카드,7572,1903,9475,2022-01-26
4438,문화누리,897,435,1332,2022-01-27
4439,문화누리카드,25197,5426,30623,2022-01-27
4440,문화누리,512,220,732,2022-01-28
4441,문화누리카드,10018,2466,12484,2022-01-28
4442,문화누리,264,96,360,2022-01-29
4443,문화누리카드,5880,928,6808,2022-01-29
4444,문화누리,240,95,335,2022-01-30
4445,문화누리카드,5348,892,6240,2022-01-30
4446,문화누리,259,107,366,2022-01-31
4447,문화누리카드,5025,798,5823,2022-01-31
