ANALS_TRGET_YEAR,ANALS_TRGET_MT,ONE_AREA_NM,TWO_AREA_NM,SETLER_BASE_MNURI_SETLE_FQ_CO,MRHST_BASE_MNURI_SETLE_FQ_CO,ALL_LON_FQ_CO,AGE_SEVEN_BELOW_LON_FQ_CO,AGE_THIRTEEN_BELOW_LON_FQ_CO,AGE_NINETEEN_BELOW_LON_FQ_CO,N20S_LON_FQ_CO,N30S_LON_FQ_CO,N40S_LON_FQ_CO,N50S_LON_FQ_CO,N60S_LON_FQ_CO,N70S_ABOVE_LON_FQ_CO
2019,02,강원도,강릉시,1344,1417,10441,369,1416,741,543,1678,3273,1053,434,352
2019,03,강원도,강릉시,2577,2631,11768,540,1402,657,452,2303,3618,1151,619,272
2019,04,강원도,강릉시,1588,1625,11998,629,1653,552,476,2123,3519,1117,632,246
2019,05,강원도,강릉시,1682,1739,10576,573,1232,551,392,1944,3225,1008,590,323
2019,06,강원도,강릉시,1430,1514,12043,696,1741,662,478,2012,3819,1064,556,273
2019,07,강원도,강릉시,1291,1335,13056,717,1891,860,512,2035,3989,1285,602,470
2019,08,강원도,강릉시,1350,1477,15334,779,2106,836,626,2771,4792,1356,695,331
2019,09,강원도,강릉시,990,1032,17511,669,1928,919,670,3478,5431,2338,882,395
2019,10,강원도,강릉시,1170,1203,7009,681,1144,262,163,1600,1876,311,277,106
2019,11,강원도,강릉시,1466,1488,7166,648,1155,205,140,1592,1887,366,303,252
2019,12,강원도,강릉시,3276,3288,7476,639,1054,258,168,1685,2025,460,381,203
2019,02,강원도,고성군,255,189,940,16,123,38,135,166,232,149,42,39
2019,03,강원도,고성군,434,291,1082,20,116,50,134,223,353,123,44,19
2019,04,강원도,고성군,336,230,987,31,137,15,106,246,281,98,46,27
2019,05,강원도,고성군,261,173,809,25,133,36,26,133,271,96,70,19
2019,06,강원도,고성군,247,178,1249,58,134,115,144,194,416,80,105,3
2019,07,강원도,고성군,198,142,1057,40,125,28,142,216,354,83,61,8
2019,08,강원도,고성군,180,137,1306,46,146,77,119,296,386,147,71,18
2019,09,강원도,고성군,142,95,735,42,98,22,32,180,210,82,56,13
2019,10,강원도,고성군,153,96,737,19,77,17,25,245,226,80,38,10
2019,11,강원도,고성군,193,136,912,35,100,40,34,279,221,188,14,1
2019,12,강원도,고성군,331,220,785,14,92,17,34,214,243,116,42,13
2019,02,강원도,동해시,265,183,19873,1477,3895,1367,1117,3349,5437,2014,670,283
2019,03,강원도,동해시,563,454,22414,1953,4268,1182,1060,4218,6185,2120,782,395
2019,04,강원도,동해시,326,262,19952,1852,3641,774,1068,3816,5450,1987,703,390
2019,05,강원도,동해시,310,237,17970,1458,2828,1093,814,3477,4900,2090,680,444
2019,06,강원도,동해시,266,206,19364,1650,3463,883,925,3675,5401,1967,783,387
2019,07,강원도,동해시,279,245,21372,1551,3593,1766,1239,4002,5752,2106,845,392
2019,08,강원도,동해시,272,236,22851,1703,4143,1509,989,4458,6735,2055,751,415
2019,09,강원도,동해시,214,157,17245,1563,2844,814,748,3555,4889,1819,611,309
2019,10,강원도,동해시,228,192,16357,1439,2605,730,764,3417,4705,1749,553,277
2019,11,강원도,동해시,364,284,18723,1606,3235,939,968,3760,5217,1902,632,248
2019,12,강원도,동해시,890,762,19227,1628,3012,1326,1077,3455,5275,2215,797,253
2019,02,강원도,삼척시,255,215,8669,587,1699,631,607,1579,2399,747,269,115
2019,03,강원도,삼척시,528,430,9207,654,1768,392,602,1679,2816,780,270,126
2019,04,강원도,삼척시,339,251,9077,973,1585,427,649,1725,2570,768,267,108
2019,05,강원도,삼척시,316,257,8130,841,1302,446,492,1520,2387,608,213,120
2019,06,강원도,삼척시,273,215,8726,969,1501,400,465,1746,2737,501,238,134
2019,07,강원도,삼척시,401,328,10516,887,1977,690,634,2013,2900,708,246,143
2019,08,강원도,삼척시,405,348,11720,1010,2513,758,653,2325,3256,779,258,155
2019,09,강원도,삼척시,251,198,8865,1321,1562,237,327,2121,2322,509,151,55
2019,10,강원도,삼척시,369,316,8133,1050,1528,372,521,1758,2035,586,199,71
2019,11,강원도,삼척시,723,500,9685,1178,1631,430,588,2142,2497,640,252,106
2019,12,강원도,삼척시,1190,858,9756,1005,1628,501,586,2033,2566,669,261,113
2019,02,강원도,속초시,679,771,15180,513,2312,969,859,3155,4109,1712,847,238
2019,03,강원도,속초시,1100,1226,15321,614,2341,764,767,3436,4213,1663,694,274
2019,04,강원도,속초시,746,822,13536,577,2123,518,702,2908,3715,1581,691,260
2019,05,강원도,속초시,740,780,13545,667,2097,598,651,2844,3270,1532,724,235
2019,06,강원도,속초시,595,645,14404,676,2120,746,817,2929,3730,1578,727,259
2019,07,강원도,속초시,559,593,15840,788,2354,1058,899,3054,4329,1781,902,261
2019,08,강원도,속초시,455,536,17685,814,2775,1084,950,3944,4596,1793,968,284
2019,09,강원도,속초시,382,404,12709,724,1902,552,698,3008,3262,1383,601,219
2019,10,강원도,속초시,432,516,12088,675,1569,565,747,2993,2940,1399,716,189
2019,11,강원도,속초시,511,655,11467,664,1514,503,626,2909,2950,1347,551,177
2019,12,강원도,속초시,1359,1603,11990,620,1525,674,708,2757,3269,1304,615,178
2019,02,강원도,양구군,64,53,3638,111,351,389,340,1156,696,228,140,14
2019,03,강원도,양구군,165,103,3522,120,303,235,320,1344,592,227,115,26
2019,04,강원도,양구군,94,67,3343,123,326,186,204,1171,735,180,120,22
2019,05,강원도,양구군,108,65,3015,100,342,173,204,1130,617,138,107,38
2019,06,강원도,양구군,72,30,3576,151,456,215,253,1194,780,190,109,18
2019,07,강원도,양구군,162,135,1739,34,170,102,120,614,420,129,38,13
2019,08,강원도,양구군,116,110,4392,141,433,461,225,1423,1083,229,146,40
2019,09,강원도,양구군,99,80,3480,172,408,237,195,1258,827,218,118,17
2019,10,강원도,양구군,92,79,2946,99,335,197,184,1013,666,182,110,9
2019,11,강원도,양구군,152,122,3527,161,362,318,162,1312,815,223,115,13
2019,12,강원도,양구군,192,162,3591,130,447,245,206,1359,827,232,114,31
2019,02,강원도,양양군,123,63,3926,188,686,188,191,881,1001,359,280,109
2019,03,강원도,양양군,320,154,4329,340,571,140,282,1002,1197,384,317,85
2019,04,강원도,양양군,215,109,3759,281,512,94,229,949,1071,296,244,59
2019,05,강원도,양양군,210,98,3550,198,546,50,238,754,1133,312,259,56
2019,06,강원도,양양군,256,138,3665,334,489,127,160,894,1115,234,219,78
2019,07,강원도,양양군,206,180,4327,367,649,148,258,1045,1131,322,324,72
2019,08,강원도,양양군,242,187,4813,450,826,196,193,1148,1220,356,341,77
2019,09,강원도,양양군,188,132,3630,346,488,150,114,906,930,361,260,70
2019,10,강원도,양양군,226,146,3306,272,522,132,130,730,901,322,258,38
2019,11,강원도,양양군,396,278,3990,282,695,136,181,945,1102,340,251,56
2019,12,강원도,양양군,429,275,3975,266,598,220,144,904,1080,372,331,57
2019,02,강원도,영월군,97,91,2619,110,361,288,106,481,608,339,261,40
2019,03,강원도,영월군,263,170,3273,114,380,381,179,713,672,452,240,71
2019,04,강원도,영월군,145,108,2629,82,257,351,137,524,574,421,187,42
2019,05,강원도,영월군,168,106,3069,140,248,822,129,566,510,399,158,42
2019,06,강원도,영월군,119,77,2648,115,307,436,150,475,544,379,199,39
2019,07,강원도,영월군,177,153,2917,137,300,508,156,559,572,377,282,26
2019,08,강원도,영월군,143,125,3348,165,437,530,151,651,593,493,270,54
2019,09,강원도,영월군,154,139,2597,145,354,293,104,516,540,361,205,25
2019,10,강원도,영월군,113,96,2207,83,242,299,88,466,497,269,193,26
2019,11,강원도,영월군,185,184,2625,134,373,275,99,614,527,328,242,25
2019,12,강원도,영월군,434,330,2738,141,318,283,138,521,619,380,292,46
2019,02,강원도,원주시,1734,1640,54598,2866,9486,4100,3697,10136,15492,5288,2461,869
2019,03,강원도,원주시,3237,3422,58877,3924,9479,3276,3525,11355,17310,5568,2419,806
2019,04,강원도,원주시,1976,2040,51508,3679,8104,2409,3347,10811,15190,4850,2114,735
2019,05,강원도,원주시,1894,1804,50659,4462,7164,3089,3162,10059,14089,4932,2180,745
2019,06,강원도,원주시,1806,1817,53715,4015,8374,3333,3498,11038,15494,4906,2010,812
2019,07,강원도,원주시,1493,1577,63101,4169,10021,5902,4385,11368,17629,5668,2244,911
2019,08,강원도,원주시,1432,1501,64327,4320,10341,5213,3911,12301,18618,6041,2374,821
2019,09,강원도,원주시,1098,1195,47694,3619,7277,2218,3088,9782,13897,4667,1933,700
2019,10,강원도,원주시,1201,1266,42059,3915,5544,2457,2662,8603,11720,3974,1645,619
2019,11,강원도,원주시,1349,1514,53327,5458,7636,2825,3229,10953,13975,5129,2055,746
2019,12,강원도,원주시,3252,3319,50871,3828,7186,3817,3016,10240,14222,5129,2289,853
2019,02,강원도,인제군,87,27,2702,175,403,114,85,822,743,169,63,20
2019,03,강원도,인제군,131,47,2767,117,362,85,131,968,663,216,101,9
2019,04,강원도,인제군,120,48,2872,164,400,85,177,935,768,172,78,6
2019,05,강원도,인제군,126,49,2278,121,247,75,132,708,630,140,70,12
2019,06,강원도,인제군,85,19,2563,159,249,96,118,746,750,152,68,10
2019,07,강원도,인제군,89,44,1756,30,178,55,68,586,517,150,39,8
2019,08,강원도,인제군,89,38,9,0,0,0,0,0,0,5,4,0
2019,09,강원도,인제군,122,27,1111,94,137,22,53,353,207,86,23,0
2019,10,강원도,인제군,177,38,1893,109,237,53,95,631,496,110,70,12
2019,11,강원도,인제군,98,52,2301,122,394,70,92,734,586,106,97,2
2019,12,강원도,인제군,306,133,2787,210,454,89,86,813,733,146,133,23
