SRLNUM,MRHST_NM,MRHST_LA,MRHST_LO,MRHST_CTPRVN_CD,MRHST_CTPRVN_NM,MRHST_SIGNGU_CD,MRHST_SIGNGU_NM,MRHST_ADSTRD_CD,MRHST_ADSTRD_NM,MRHST_FLAG_CD,MRHST_FLAG_CD_NM
14,GS25 R부산동구2점,35.1366373,129.0650449,21,부산광역시,21030,동구,2103071,범일1동,B,급식카드가맹점
15,GS25 R부산동구3점,35.1366373,129.0650449,21,부산광역시,21030,동구,2103071,범일1동,B,급식카드가맹점
16,GS25 R부산연제4점,35.1877482,129.0793316,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
17,GS25 S경성부경대역점,35.1372882,129.1016457,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
18,GS25 S부산광안역점,35.1583292,129.1168234,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
19,GS25 S부산명륜역점,35.2125712,129.0797129,21,부산광역시,21060,동래구,2106055,온천1동,B,급식카드가맹점
20,GS25 S부산벡스코역점,35.1682401,129.1396377,21,부산광역시,21090,해운대구,2109073,우1동,B,급식카드가맹점
21,GS25 S부산자갈치역점,35.0974087,129.0265881,21,부산광역시,21010,중구,2101058,남포동,B,급식카드가맹점
22,GS25 S부산해운대역점,35.1612004,129.1568564,21,부산광역시,21090,해운대구,2109073,우1동,B,급식카드가맹점
23,GS25 S서면역점,35.1577510,129.0600463,21,부산광역시,21050,부산진구,2105052,부전2동,B,급식카드가맹점
24,GS25 S센텀시티역점,35.1702183,129.1341428,21,부산광역시,21090,해운대구,2109073,우1동,B,급식카드가맹점
25,GS25 S연산역점,35.1891243,129.0808576,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
26,GS25 S장산역점,35.1710911,129.1793647,21,부산광역시,21090,해운대구,2109073,우1동,B,급식카드가맹점
27,GS25 S토성역점,35.1008955,129.0198967,21,부산광역시,21020,서구,2102064,충무동,B,급식카드가맹점
28,GS25 W타워점,35.1601316,129.1613979,21,부산광역시,21090,해운대구,2109053,중1동,B,급식카드가맹점
29,GS25 가덕도점,35.0305949,128.8136363,21,부산광역시,21120,강서구,2112058,가덕도동,B,급식카드가맹점
30,GS25 가야가평점,35.1502502,129.0244994,21,부산광역시,21050,부산진구,2105074,개금1동,B,급식카드가맹점
31,GS25 가야공원점,35.1503871,129.0298211,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
32,GS25 가야그린점,35.1516472,129.0378723,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
