,date,time,province,confirmed,released,deceased
0,2020-01-20,16,Seoul,0,0,0
1,2020-01-21,16,Seoul,0,0,0
2,2020-01-22,16,Seoul,0,0,0
3,2020-01-23,16,Seoul,0,0,0
4,2020-01-24,16,Seoul,0,0,0
5,2020-01-25,16,Seoul,0,0,0
6,2020-01-26,16,Seoul,0,0,0
7,2020-01-27,16,Seoul,1,0,0
8,2020-01-28,16,Seoul,1,0,0
9,2020-01-29,16,Seoul,1,0,0
10,2020-01-30,16,Seoul,3,0,0
11,2020-01-31,16,Seoul,4,0,0
12,2020-02-01,16,Seoul,4,0,0
13,2020-02-02,16,Seoul,5,0,0
14,2020-02-03,16,Seoul,5,0,0
15,2020-02-04,16,Seoul,5,0,0
16,2020-02-05,16,Seoul,5,1,0
17,2020-02-06,16,Seoul,10,1,0
18,2020-02-07,16,Seoul,11,1,0
19,2020-02-08,16,Seoul,11,1,0
20,2020-02-09,16,Seoul,14,1,0
21,2020-02-10,16,Seoul,14,1,0
22,2020-02-11,16,Seoul,14,2,0
23,2020-02-12,16,Seoul,14,2,0
24,2020-02-13,16,Seoul,14,2,0
25,2020-02-14,16,Seoul,14,2,0
26,2020-02-15,16,Seoul,14,2,0
27,2020-02-16,16,Seoul,14,3,0
28,2020-02-17,16,Seoul,14,3,0
29,2020-02-18,16,Seoul,14,3,0
30,2020-02-19,16,Seoul,20,3,0
31,2020-02-20,16,Seoul,22,5,0
32,2020-02-21,16,Seoul,27,5,0
33,2020-02-22,16,Seoul,30,6,0
34,2020-02-23,16,Seoul,31,6,0
35,2020-02-24,16,Seoul,35,6,0
36,2020-02-25,16,Seoul,41,8,0
37,2020-02-26,16,Seoul,49,8,0
38,2020-02-27,16,Seoul,56,8,0
39,2020-02-28,16,Seoul,62,9,0
40,2020-02-29,16,Seoul,77,9,0
41,2020-03-01,16,Seoul,87,11,0
42,2020-03-02,0,Seoul,91,12,0
43,2020-03-03,0,Seoul,98,13,0
44,2020-03-04,0,Seoul,99,19,0
45,2020-03-05,0,Seoul,103,25,0
46,2020-03-06,0,Seoul,105,25,0
47,2020-03-07,0,Seoul,108,27,0
48,2020-03-08,0,Seoul,120,28,0
49,2020-03-09,0,Seoul,130,29,0
50,2020-03-10,0,Seoul,141,31,0
51,2020-03-11,0,Seoul,193,37,0
52,2020-03-12,0,Seoul,212,38,0
53,2020-03-13,0,Seoul,225,40,0
54,2020-03-14,0,Seoul,238,44,0
55,2020-03-15,0,Seoul,247,47,0
56,2020-03-16,0,Seoul,253,52,0
57,2020-03-17,0,Seoul,265,55,0
58,2020-03-18,0,Seoul,270,55,0
59,2020-03-19,0,Seoul,282,58,0
60,2020-03-20,0,Seoul,299,64,0
61,2020-03-21,0,Seoul,314,64,0
62,2020-03-22,0,Seoul,324,64,0
63,2020-03-23,0,Seoul,330,64,0
64,2020-03-24,0,Seoul,334,72,0
65,2020-03-25,0,Seoul,347,72,0
66,2020-03-26,0,Seoul,360,80,0
67,2020-03-27,0,Seoul,372,89,0
68,2020-03-28,0,Seoul,390,93,0
69,2020-03-29,0,Seoul,410,93,0
70,2020-03-30,0,Seoul,426,92,0
71,2020-03-31,0,Seoul,450,107,0
72,2020-04-01,0,Seoul,474,117,0
73,2020-04-02,0,Seoul,488,127,0
74,2020-04-03,0,Seoul,506,131,0
75,2020-04-04,0,Seoul,528,144,0
76,2020-04-05,0,Seoul,552,145,0
77,2020-04-06,0,Seoul,563,151,0
78,2020-04-07,0,Seoul,567,164,0
79,2020-04-08,0,Seoul,578,169,2
80,2020-04-09,0,Seoul,590,174,2
